link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
https://www.zomato.com/pune/ldorado-cafe-aundh,"L'dorado Cafe
                                    ",Quick Bites,Aundh,4,92,4.3,188,"Beverages,Burger,Fast Food,",600,"Burgers, Hot Chocolate, Fries, Fried Bacon, Wings, Cheesecake, Onion Rings"
https://www.zomato.com/pune/paradise-family-restaurant-kharadi,"Paradise Family Restaurant
                                    ",Casual Dining,Kharadi,3.9,309,3.7,2021,"North Indian,Maharashtrian,Chinese,Biryani,",800,"Hyderabadi Biryani, Mutton Biryani, Chicken Dum Biryani, Chicken 65, Egg Biryani, Raita, Chicken Handi"
https://www.zomato.com/pune/shrivastav-rasoi-karve-nagar,"Shrivastav Rasoi
                                    ",NA,Karve Nagar,2.7,542,,,"Beverages,Fast Food,Rolls,Chinese,Maharashtrian,",200,
https://www.zomato.com/pune/cafe-class-on-grass-ravet,"Cafe Class On Grass
                                    ",Quick Bites,Ravet,3.3,10,,,"Beverages,Fast Food,",300,
https://www.zomato.com/pune/ambar-family-restaurant-aundh,"Ambar Family Restaurant
                                    ",Dhaba,Aundh,3.6,279,3.9,3402,"Seafood,Chinese,Mughlai,North Indian,",450,"Panneer Butter Masala, Jeera Rice, Chicken Thali, Chicken Masala, Biryani, Dal Makhani"
https://www.zomato.com/pune/mocha-1-koregaon-park,"Mocha
                                    ",Cafe,Koregaon Park,4.4,2089,3.8,296,"Asian,Salad,European,Continental,Cafe,","1,000","Pasta, Pizza, Chocolate Avalanche, Coffee, Tiramisu, Nachos, Hot Chocolate"
https://www.zomato.com/pune/bhairavi-wakad,"Bhairavi
                                    ",Casual Dining,Wakad,4.1,105,3.8,266,"Maharashtrian,",650,"Mutton Thali, Chicken Sukha, Chicken Thali, Egg Masala, Fish, Mutton Keema, Pandhra Rassa"
https://www.zomato.com/pune/taibah-restaurant-viman-nagar,"Taibah Restaurant
                                    ",Quick Bites,Viman Nagar,3.7,111,3.7,436,"Hyderabadi,Chinese,North Indian,",450,
https://www.zomato.com/pune/roopali-restaurant-fc-road,"Roopali Restaurant
                                    ",Quick Bites,FC Road,4.2,882,4.4,1335,"Beverages,North Indian,South Indian,Fast Food,",400,"Filtered Coffee, Thali, Tea, Upma, Sandwich, Mysore Masala Dosa, Rava Dosa"
https://www.zomato.com/pune/kata-kirr-sinhgad-road,"Kata Kirr
                                    ",Quick Bites,Sinhgad Road,3.8,131,4.1,1378,"Maharashtrian,Street Food,",150,"Misal Pav, Spicy Misal"
